SA2_NAME16,SA2_MAIN16,Average Valuation
Penrith,124031464,1006.6893525922981
Warragamba - Silverdale,124031465,643.6959198353527
Richmond - Clarendon,124041466,973.8361553154863
Windsor - Bligh Park,124041467,920.0690051753883
Yarramundi - Londonderry,124041468,1003.9067575767538
Erskine Park,124051469,1003.1916897137677
St Clair,124051470,1003.1916897137676
Colyton - Oxley Park,124051580,977.0473765348966
St Marys - North St Marys,124051581,977.0473765348964
Homebush Bay - Silverwater,125011473,4824.007295733169
Rookwood Cemetery,125011475,2571.614583333333
Auburn - Central,125011582,4678.787878787879
Auburn - North,125011583,4678.787878787879
Auburn - South,125011584,4678.787878787879
Berala,125011585,2604.7185443447934
Lidcombe,125011586,2697.797380440643
Regents Park,125011587,1709.074630934248
Carlingford,125021476,3321.2094638106764
Ermington - Rydalmere,125021477,2506.1359095227626
Oatlands - Dundas Valley,125021478,2079.9603244102723
Chester Hill - Sefton,125031479,1377.3090472884257
Fairfield - East,125031480,1287.3854135239765
Granville - Clyde,125031481,3351.501079428288
Greystanes - Pemulwuy,125031482,1967.1856392200914
Guildford - South Granville,125031483,2141.381873345595
Guildford West - Merrylands West,125031484,1989.2259764455362
Merrylands - Holroyd,125031485,2826.218043459938
Smithfield Industrial,125031486,1181.592039800995
Yennora Industrial,125031487,1437.8145219266714
North Parramatta,125041489,4456.501964929178
North Rocks,125041490,3689.3203883495135
Northmead,125041491,1654.7951467558714
Parramatta - Rosehill,125041492,4917.406864893528
Toongabbie - Constitution Hill,125041493,1466.0876081206234
Winston Hills,125041494,1752.231269718643
Pendle Hill - Girraween,125041588,1963.3498445022603
Wentworthville - Westmead,125041589,2018.285826282313
Epping - North Epping,126011495,3192.1067904817182
Pennant Hills - Cheltenham,126011496,1745.0792460079736
Eastwood - Denistone,126021497,2714.517029807795
Gladesville - Huntleys Point,126021498,3109.7212365845935
Hunters Hill - Woolwich,126021499,3953.35046451868
Macquarie Park - Marsfield,126021500,4178.965735004642
North Ryde - East Ryde,126021501,5659.810230756817
West Ryde - Meadowbank,126021503,2254.5376301206143
Putney,126021590,4597.778693308614
Ryde,126021591,4623.942920010888
Ashcroft - Busby - Miller,127011504,1063.0820593920223
Austral - Greendale,127011505,1035.5149272928652
Cobbitty - Leppington,127011506,1279.8227120537756
Badgerys Creek,127011592,1357.7586206896553
Cecil Hills,127011593,1717.1377693625464
Green Valley,127011594,1063.0820593920223
Hinchinbrook,127011595,1283.144350545911
Hoxton Park - Carnes Hill - Horningsea Park,127011596,1595.502106836912
West Hoxton - Middleton Grange,127011597,1717.1377693625464
Bonnyrigg Heights - Bonnyrigg,127021509,1285.5103558974247
Bossley Park - Abbotsbury,127021510,1317.718576792419
Cabramatta - Lansvale,127021511,1333.3486775774822
Cabramatta West - Mount Pritchard,127021512,1345.879782644979
Canley Vale - Canley Heights,127021513,1333.3486775774822
